produit;categorie;quantite;unite;magasin;ville;mois
farine;produits;730;unités;Point de vente Tahoua 1;Tahoua;01/04/2025
farine;produits;661;unités;Point de vente Tahoua 1;Tahoua;01/05/2025
farine;produits;708;unités;Point de vente Tahoua 1;Tahoua;01/06/2025
sucre;produits;659;unités;Point de vente Tahoua 1;Tahoua;01/01/2025
sucre;produits;471;unités;Point de vente Tahoua 1;Tahoua;01/02/2025
sucre;produits;385;unités;Point de vente Tahoua 1;Tahoua;01/03/2025
sucre;produits;272;unités;Point de vente Tahoua 1;Tahoua;01/04/2025
sucre;produits;304;unités;Point de vente Tahoua 1;Tahoua;01/05/2025
sucre;produits;285;unités;Point de vente Tahoua 1;Tahoua;01/06/2025
savon;produits;200;unités;Point de vente Tahoua 1;Tahoua;01/01/2025
savon;produits;163;unités;Point de vente Tahoua 1;Tahoua;01/02/2025
savon;produits;188;unités;Point de vente Tahoua 1;Tahoua;01/03/2025
savon;produits;167;unités;Point de vente Tahoua 1;Tahoua;01/04/2025
savon;produits;150;unités;Point de vente Tahoua 1;Tahoua;01/05/2025
savon;produits;181;unités;Point de vente Tahoua 1;Tahoua;01/06/2025
farine;produits;224;unités;Point de vente Agadez 1;Agadez;01/01/2025
farine;produits;219;unités;Point de vente Agadez 1;Agadez;01/02/2025
farine;produits;226;unités;Point de vente Agadez 1;Agadez;01/03/2025
farine;produits;193;unités;Point de vente Agadez 1;Agadez;01/04/2025
farine;produits;177;unités;Point de vente Agadez 1;Agadez;01/05/2025
farine;produits;213;unités;Point de vente Agadez 1;Agadez;01/06/2025
sucre;produits;803;unités;Point de vente Agadez 1;Agadez;01/01/2025
sucre;produits;905;unités;Point de vente Agadez 1;Agadez;01/02/2025
sucre;produits;990;unités;Point de vente Agadez 1;Agadez;01/03/2025
sucre;produits;1264;unités;Point de vente Agadez 1;Agadez;01/04/2025
sucre;produits;1117;unités;Point de vente Agadez 1;Agadez;01/05/2025
sucre;produits;1272;unités;Point de vente Agadez 1;Agadez;01/06/2025
savon;produits;515;unités;Point de vente Agadez 1;Agadez;01/01/2025
savon;produits;524;unités;Point de vente Agadez 1;Agadez;01/02/2025
savon;produits;433;unités;Point de vente Agadez 1;Agadez;01/03/2025
savon;produits;306;unités;Point de vente Agadez 1;Agadez;01/04/2025
savon;produits;229;unités;Point de vente Agadez 1;Agadez;01/05/2025
savon;produits;186;unités;Point de vente Agadez 1;Agadez;01/06/2025
farine;produits;435;unités;Point de vente Dosso 1;Dosso;01/01/2025
farine;produits;553;unités;Point de vente Dosso 1;Dosso;01/02/2025
farine;produits;610;unités;Point de vente Dosso 1;Dosso;01/03/2025
farine;produits;546;unités;Point de vente Dosso 1;Dosso;01/04/2025
farine;produits;472;unités;Point de vente Dosso 1;Dosso;01/05/2025
farine;produits;336;unités;Point de vente Dosso 1;Dosso;01/06/2025
sucre;produits;273;unités;Point de vente Dosso 1;Dosso;01/01/2025
sucre;produits;268;unités;Point de vente Dosso 1;Dosso;01/02/2025
sucre;produits;336;unités;Point de vente Dosso 1;Dosso;01/03/2025
sucre;produits;358;unités;Point de vente Dosso 1;Dosso;01/04/2025
sucre;produits;380;unités;Point de vente Dosso 1;Dosso;01/05/2025
sucre;produits;319;unités;Point de vente Dosso 1;Dosso;01/06/2025
savon;produits;912;unités;Point de vente Dosso 1;Dosso;01/01/2025
savon;produits;903;unités;Point de vente Dosso 1;Dosso;01/02/2025
savon;produits;1129;unités;Point de vente Dosso 1;Dosso;01/03/2025
savon;produits;1175;unités;Point de vente Dosso 1;Dosso;01/04/2025
savon;produits;924;unités;Point de vente Dosso 1;Dosso;01/05/2025
savon;produits;1150;unités;Point de vente Dosso 1;Dosso;01/06/2025
