ressource;categorie;quantite;unite;site;commune;mois
mil;vivres;36.6;tonnes;Site de distribution Banibangou 1;Banibangou;01/02/2025
mil;vivres;28.0;tonnes;Site de distribution Banibangou 1;Banibangou;01/03/2025
mil;vivres;21.9;tonnes;Site de distribution Banibangou 1;Banibangou;01/04/2025
mil;vivres;22.2;tonnes;Site de distribution Banibangou 1;Banibangou;01/05/2025
mil;vivres;21.7;tonnes;Site de distribution Banibangou 1;Banibangou;01/06/2025
huile;vivres;1637.2;litres;Site de distribution Banibangou 1;Banibangou;01/01/2025
huile;vivres;1666.5;litres;Site de distribution Banibangou 1;Banibangou;01/02/2025
huile;vivres;1459.3;litres;Site de distribution Banibangou 1;Banibangou;01/03/2025
huile;vivres;1249.5;litres;Site de distribution Banibangou 1;Banibangou;01/04/2025
huile;vivres;1002.5;litres;Site de distribution Banibangou 1;Banibangou;01/05/2025
huile;vivres;1010.8;litres;Site de distribution Banibangou 1;Banibangou;01/06/2025
riz;vivres;46.1;tonnes;Site de distribution Ayérou 1;Ayérou;01/01/2025
riz;vivres;51.9;tonnes;Site de distribution Ayérou 1;Ayérou;01/02/2025
riz;vivres;39.1;tonnes;Site de distribution Ayérou 1;Ayérou;01/03/2025
riz;vivres;39.0;tonnes;Site de distribution Ayérou 1;Ayérou;01/04/2025
riz;vivres;38.1;tonnes;Site de distribution Ayérou 1;Ayérou;01/05/2025
riz;vivres;30.1;tonnes;Site de distribution Ayérou 1;Ayérou;01/06/2025
mil;vivres;30.5;tonnes;Site de distribution Ayérou 1;Ayérou;01/01/2025
mil;vivres;24.5;tonnes;Site de distribution Ayérou 1;Ayérou;01/02/2025
mil;vivres;21.8;tonnes;Site de distribution Ayérou 1;Ayérou;01/03/2025
mil;vivres;17.0;tonnes;Site de distribution Ayérou 1;Ayérou;01/04/2025
mil;vivres;14.4;tonnes;Site de distribution Ayérou 1;Ayérou;01/05/2025
mil;vivres;12.4;tonnes;Site de distribution Ayérou 1;Ayérou;01/06/2025
huile;vivres;1971.5;litres;Site de distribution Ayérou 1;Ayérou;01/01/2025
huile;vivres;1717.2;litres;Site de distribution Ayérou 1;Ayérou;01/02/2025
huile;vivres;1963.7;litres;Site de distribution Ayérou 1;Ayérou;01/03/2025
huile;vivres;2106.7;litres;Site de distribution Ayérou 1;Ayérou;01/04/2025
huile;vivres;2025.8;litres;Site de distribution Ayérou 1;Ayérou;01/05/2025
huile;vivres;2060.5;litres;Site de distribution Ayérou 1;Ayérou;01/06/2025
riz;vivres;48.4;tonnes;Site de distribution Dakoro 1;Dakoro;01/01/2025
riz;vivres;38.3;tonnes;Site de distribution Dakoro 1;Dakoro;01/02/2025
riz;vivres;42.2;tonnes;Site de distribution Dakoro 1;Dakoro;01/03/2025
riz;vivres;36.1;tonnes;Site de distribution Dakoro 1;Dakoro;01/04/2025
riz;vivres;39.9;tonnes;Site de distribution Dakoro 1;Dakoro;01/05/2025
riz;vivres;41.8;tonnes;Site de distribution Dakoro 1;Dakoro;01/06/2025
mil;vivres;22.7;tonnes;Site de distribution Dakoro 1;Dakoro;01/01/2025
mil;vivres;19.0;tonnes;Site de distribution Dakoro 1;Dakoro;01/02/2025
mil;vivres;16.8;tonnes;Site de distribution Dakoro 1;Dakoro;01/03/2025
mil;vivres;17.2;tonnes;Site de distribution Dakoro 1;Dakoro;01/04/2025
mil;vivres;18.8;tonnes;Site de distribution Dakoro 1;Dakoro;01/05/2025
mil;vivres;17.9;tonnes;Site de distribution Dakoro 1;Dakoro;01/06/2025
huile;vivres;2060.8;litres;Site de distribution Dakoro 1;Dakoro;01/01/2025
huile;vivres;1587.5;litres;Site de distribution Dakoro 1;Dakoro;01/02/2025
huile;vivres;1593.4;litres;Site de distribution Dakoro 1;Dakoro;01/03/2025
huile;vivres;1723.6;litres;Site de distribution Dakoro 1;Dakoro;01/04/2025
huile;vivres;1323.1;litres;Site de distribution Dakoro 1;Dakoro;01/05/2025
huile;vivres;1168.9;litres;Site de distribution Dakoro 1;Dakoro;01/06/2025
riz;vivres;39.5;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/01/2025
riz;vivres;32.2;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/02/2025
riz;vivres;29.8;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/03/2025
riz;vivres;30.8;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/04/2025
riz;vivres;30.0;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/05/2025
riz;vivres;23.9;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/06/2025
mil;vivres;39.2;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/01/2025
mil;vivres;31.7;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/02/2025
mil;vivres;24.3;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/03/2025
mil;vivres;21.8;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/04/2025
mil;vivres;21.1;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/05/2025
mil;vivres;19.5;tonnes;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/06/2025
huile;vivres;1470.8;litres;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/01/2025
huile;vivres;1652.1;litres;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/02/2025
huile;vivres;1881.6;litres;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/03/2025
huile;vivres;1441.2;litres;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/04/2025
huile;vivres;1287.2;litres;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/05/2025
huile;vivres;1316.5;litres;Site de distribution Guidan Roumdji 1;Guidan Roumdji;01/06/2025
riz;vivres;40.4;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/01/2025
riz;vivres;39.4;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/02/2025
riz;vivres;43.3;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/03/2025
riz;vivres;49.3;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/04/2025
riz;vivres;51.8;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/05/2025
riz;vivres;58.0;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/06/2025
mil;vivres;22.5;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/01/2025
mil;vivres;24.0;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/02/2025
mil;vivres;19.7;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/03/2025
mil;vivres;18.0;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/04/2025
mil;vivres;14.8;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/05/2025
mil;vivres;16.6;tonnes;Site de distribution Madarounfa 1;Madarounfa;01/06/2025
huile;vivres;2179.1;litres;Site de distribution Madarounfa 1;Madarounfa;01/01/2025
huile;vivres;2218.3;litres;Site de distribution Madarounfa 1;Madarounfa;01/02/2025
huile;vivres;2315.9;litres;Site de distribution Madarounfa 1;Madarounfa;01/03/2025
huile;vivres;1966.8;litres;Site de distribution Madarounfa 1;Madarounfa;01/04/2025
huile;vivres;1600.4;litres;Site de distribution Madarounfa 1;Madarounfa;01/05/2025
huile;vivres;1649.2;litres;Site de distribution Madarounfa 1;Madarounfa;01/06/2025
